Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Crop;Mean;Error;StdDev;Gen 0;Gen 1;Gen 2;Allocated
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;8;"1,240.392 ms";522.179 ms;28.6224 ms;40000.0000;11000.0000;3000.0000;223.64 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;8;"2,466.491 ms";698.320 ms;38.2773 ms;189000.0000;69000.0000;6000.0000;1097.92 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;10;"1,249.144 ms";180.975 ms;9.9198 ms;40000.0000;11000.0000;4000.0000;216.73 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;10;924.828 ms;620.544 ms;34.0141 ms;32000.0000;8000.0000;2000.0000;180.15 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;10;"1,757.279 ms";247.332 ms;13.5571 ms;152000.0000;56000.0000;5000.0000;883.23 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;12;803.105 ms;232.415 ms;12.7394 ms;29000.0000;6000.0000;2000.0000;169.79 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;12;664.398 ms;111.405 ms;6.1065 ms;24000.0000;6000.0000;2000.0000;140.43 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;12;"1,391.979 ms";71.987 ms;3.9459 ms;119000.0000;44000.0000;5000.0000;691.55 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;14;497.591 ms;70.779 ms;3.8796 ms;22000.0000;5000.0000;2000.0000;128 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;14;461.237 ms;80.118 ms;4.3915 ms;18000.0000;5000.0000;2000.0000;105.51 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;14;995.778 ms;86.758 ms;4.7555 ms;90000.0000;32000.0000;4000.0000;525.05 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;16;289.952 ms;30.077 ms;1.6486 ms;16000.0000;4000.0000;2000.0000;90.71 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;16;293.188 ms;46.079 ms;2.5258 ms;12000.0000;3000.0000;1000.0000;74.85 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;16;711.343 ms;111.624 ms;6.1185 ms;66000.0000;24000.0000;4000.0000;376.56 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;18;139.668 ms;51.636 ms;2.8304 ms;9000.0000;3000.0000;1000.0000;57.88 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;18;199.627 ms;321.262 ms;17.6094 ms;8000.0000;2000.0000;1000.0000;47.61 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;18;417.056 ms;62.054 ms;3.4014 ms;43000.0000;16000.0000;3000.0000;245.39 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;20;64.825 ms;35.226 ms;1.9309 ms;5000.0000;2000.0000;1000.0000;29.96 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;20;80.864 ms;63.270 ms;3.4680 ms;4000.0000;1000.0000;0.0000;25.34 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;20;211.392 ms;38.769 ms;2.1250 ms;25000.0000;10000.0000;3000.0000;135.87 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;22;9.982 ms;5.530 ms;0.3031 ms;1000.0000;0.0000;0.0000;5.77 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;22;14.960 ms;5.827 ms;0.3194 ms;1000.0000;0.0000;0.0000;5.32 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;22;33.671 ms;13.646 ms;0.7480 ms;5000.0000;2000.0000;1000.0000;30.49 MB
