Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Capacity;Mean;Error;StdDev;Gen 0;Gen 1;Gen 2;Allocated
Trie;EncodeTrieCapacityJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;1;3.066 s;1.8469 s;0.1012 s;73000.0000;19000.0000;4000.0000;422.83 MB
Trie;EncodeTrieCapacityJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;10;2.780 s;0.1687 s;0.0092 s;74000.0000;23000.0000;4000.0000;426.57 MB
Trie;EncodeTrieCapacityJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;100;4.104 s;0.6265 s;0.0343 s;168000.0000;61000.0000;5000.0000;987.19 MB
Trie;EncodeTrieCapacityJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;1000;11.174 s;4.0823 s;0.2238 s;1116000.0000;398000.0000;9000.0000;6648.42 MB
